name;station;date;max temperature;min temperature;snow depth;max wind
Oslo - Blindern;SN18700;28.03.2020;7,8;-1,3;0;9,8
Oslo - Blindern;SN18700;29.03.2020;7,1;-4,9;0;8,4
Oslo - Blindern;SN18700;30.03.2020;6,5;-0,4;0;6,8
Oslo - Blindern;SN18700;31.03.2020;11,9;-2,7;0;7,7
Oslo - Blindern;SN18700;01.04.2020;10,9;2,3;0;6,8
Oslo - Blindern;SN18700;02.04.2020;9,7;0,4;0;12
Oslo - Blindern;SN18700;03.04.2020;8,2;0,2;0;8,4
Oslo - Blindern;SN18700;04.04.2020;7,3;-2,7;0;6,4
Oslo - Blindern;SN18700;05.04.2020;8,6;2,9;0;5,2
Oslo - Blindern;SN18700;06.04.2020;13,3;2,1;0;6,4
Oslo - Blindern;SN18700;07.04.2020;14,9;4,2;0;11
Oslo - Blindern;SN18700;08.04.2020;11,5;0,6;0;7,2
Oslo - Blindern;SN18700;09.04.2020;11,7;0,1;0;6,2
Oslo - Blindern;SN18700;10.04.2020;11,8;0,8;0;5,9
Oslo - Blindern;SN18700;11.04.2020;9,8;-1,6;0;6
Oslo - Blindern;SN18700;12.04.2020;13,2;4,8;0;8,6
Oslo - Blindern;SN18700;13.04.2020;8,3;1,7;0;12,3
Oslo - Blindern;SN18700;14.04.2020;7,7;-1,2;0;8,4
Oslo - Blindern;SN18700;15.04.2020;19,4;3,9;0;9,3
Oslo - Blindern;SN18700;16.04.2020;13,3;4,4;0;9,5
Oslo - Blindern;SN18700;17.04.2020;11,6;-1;0;6,7
Oslo - Blindern;SN18700;18.04.2020;12,6;0,4;0;6,4
Oslo - Blindern;SN18700;19.04.2020;17,3;3,1;0;4,2
Oslo - Blindern;SN18700;20.04.2020;19,3;5,8;0;6,1
Oslo - Blindern;SN18700;21.04.2020;20,8;7,8;0;5
Oslo - Blindern;SN18700;22.04.2020;21,9;4,9;0;5,1
Oslo - Blindern;SN18700;23.04.2020;19,5;6,1;0;4,1
Oslo - Blindern;SN18700;24.04.2020;17,3;6,2;0;8
Oslo - Blindern;SN18700;25.04.2020;15;2,4;0;5,4
Oslo - Blindern;SN18700;26.04.2020;13,3;4,5;0;5,3
Oslo - Blindern;SN18700;27.04.2020;11,1;3,4;0;7
Oslo - Blindern;SN18700;28.04.2020;8;2,2;0;7,2
Oslo - Blindern;SN18700;29.04.2020;8,9;1,4;0;3,7
Oslo - Blindern;SN18700;30.04.2020;7,7;2,2;0;6,1
Oslo - Blindern;SN18700;01.05.2020;13,1;1,5;0;6,5
Oslo - Blindern;SN18700;02.05.2020;15,5;3,8;0;5,7
Oslo - Blindern;SN18700;03.05.2020;14,8;3,2;0;7
Oslo - Blindern;SN18700;04.05.2020;11,7;3,3;0;7,5
Oslo - Blindern;SN18700;05.05.2020;14,5;3,2;0;6,5
Oslo - Blindern;SN18700;06.05.2020;17,6;3,7;0;6,7
Oslo - Blindern;SN18700;07.05.2020;15,1;4,6;0;7,9
Oslo - Blindern;SN18700;08.05.2020;16;5,8;0;6,9
Oslo - Blindern;SN18700;09.05.2020;16,1;4,4;0;6
Oslo - Blindern;SN18700;10.05.2020;12;2,1;0;7,2
Oslo - Blindern;SN18700;11.05.2020;10,7;-1,4;0;6,8
Oslo - Blindern;SN18700;12.05.2020;8,5;-0,3;0;10,5
Oslo - Blindern;SN18700;13.05.2020;11,9;-1,7;0;5,7
Oslo - Blindern;SN18700;14.05.2020;11,5;-0,2;0;7,9
Oslo - Blindern;SN18700;15.05.2020;13,4;2,2;0;7,4
Oslo - Blindern;SN18700;16.05.2020;10,1;1,2;0;7,1
Oslo - Blindern;SN18700;17.05.2020;14;4,4;0;9,8
Oslo - Blindern;SN18700;18.05.2020;15,6;1,4;0;5,6
Oslo - Blindern;SN18700;19.05.2020;16;3,4;0;6,8
