name;station;date;max temperature;min temperature;snow depth;max wind
Tromsø - Langnes;SN90490;28.03.2020;2,3;-4,7;60;16,2
Tromsø - Langnes;SN90490;29.03.2020;-1,8;-5,4;70;13,5
Tromsø - Langnes;SN90490;30.03.2020;-1,4;-5,5;70;8,5
Tromsø - Langnes;SN90490;31.03.2020;0,8;-3,4;74;14,2
Tromsø - Langnes;SN90490;01.04.2020;-0,6;-4,1;80;11,3
Tromsø - Langnes;SN90490;02.04.2020;-1,3;-11,4;80;4,6
Tromsø - Langnes;SN90490;03.04.2020;-2,9;-12,9;80;6,6
Tromsø - Langnes;SN90490;04.04.2020;-2,7;-9,8;80;8
Tromsø - Langnes;SN90490;05.04.2020;-1,4;-5,6;92;13,1
Tromsø - Langnes;SN90490;06.04.2020;0,7;-9,3;100;9,2
Tromsø - Langnes;SN90490;07.04.2020;5,4;-0,5;95;12
Tromsø - Langnes;SN90490;08.04.2020;6,5;0,2;82;16,5
Tromsø - Langnes;SN90490;09.04.2020;1,4;-3,1;78;14,6
Tromsø - Langnes;SN90490;10.04.2020;-0,7;-3,5;87;8,1
Tromsø - Langnes;SN90490;11.04.2020;0,6;-3,3;95;8,3
Tromsø - Langnes;SN90490;12.04.2020;1,1;-5;98;8,2
Tromsø - Langnes;SN90490;13.04.2020;2;-2;90;13,4
Tromsø - Langnes;SN90490;14.04.2020;2,9;-2,9;89;8,3
Tromsø - Langnes;SN90490;15.04.2020;3,2;-1,2;95;9,8
Tromsø - Langnes;SN90490;16.04.2020;3,6;-0,2;90;7,1
Tromsø - Langnes;SN90490;17.04.2020;3,5;-1,6;85;10,1
Tromsø - Langnes;SN90490;18.04.2020;3,8;-1;80;6,7
Tromsø - Langnes;SN90490;19.04.2020;5,5;2,4;80;9,2
Tromsø - Langnes;SN90490;20.04.2020;6,1;2,7;75;8,3
Tromsø - Langnes;SN90490;21.04.2020;4,9;1,2;65;9,7
Tromsø - Langnes;SN90490;22.04.2020;5,6;1,2;60;5,9
Tromsø - Langnes;SN90490;23.04.2020;4,1;1,1;55;5,9
Tromsø - Langnes;SN90490;24.04.2020;1,9;-1,5;52;6,3
Tromsø - Langnes;SN90490;25.04.2020;2;-0,3;55;11
Tromsø - Langnes;SN90490;26.04.2020;2,2;-0,5;62;7,9
Tromsø - Langnes;SN90490;27.04.2020;1;-0,7;62;9,4
Tromsø - Langnes;SN90490;28.04.2020;1,4;-1;61;5,6
Tromsø - Langnes;SN90490;29.04.2020;2,8;-4,6;60;7
Tromsø - Langnes;SN90490;30.04.2020;4,4;-4,7;60;7
Tromsø - Langnes;SN90490;01.05.2020;4;-2,3;58;4,3
